inquiry,knowledge,idea
怎麼讓物質溫度上升呢?,1. 溫度計的使用方法 2. 太陽照射、物質燃燒和摩擦等可以使溫度升高，運用測量的方法可知溫度高低。,
水在外在環境溫度比較高的地方會產生什麼變化?,1. 外在環境溫度上升讓冰塊融化成液態水且讓水蒸發成水蒸氣,
外在環境溫度會影響水變化的速度嗎?,1. 外在環境溫度較高，冰塊融化且水蒸發的速度會變得更快,
怎麼增加水蒸發的速度呢?,1. 溫度增加、空氣流動及增加接觸空氣面積可以使水蒸發的速度加快,
把夾鏈袋中的水放在冰塊中，夾鏈袋中的水會產生什麼變化呢?,1. 外在環境溫度下降讓液態水的溫度也下降，降低到 0 度以下會凝固成冰,
為什麼冰飲料瓶外會有水?,1. 外在環境溫度下降讓水蒸氣凝結成水,
什麼是水的三態變化呢?,1. 水的三態變化,
水的用途有哪些?,1. 不同型態的水在生活中有那些用途,
該如何珍惜水資源呢?,1.  地球資源永續可結合日常生活中低碳與節水方法做起,
其他物質也有三態變化嗎?,1. 物質的形態會因溫度的不同而改變,
其他物質受熱後，除了型態之外還有哪些變化?(顏色、性質),1.  物質受熱後，有些可以回復，有些則不能,
有哪些因素會影響物質的外形或狀態(物理變化)?,1. 大自然的物質彼此之間會相互影響造成物質外形或狀態的改變 2. 物質受到空氣、水等外在因素影響時，外型或狀態可能會改 變,
有哪些因素會影響物質的性質(化學變化)?,1.  空氣、水、溫度會使某些物質的性質產生改變,
有些因素會影響物質的外形或狀態，這些因素造成物質改變的快慢相同嗎?,1. 物質受到空氣、水等外在因素影響時，有些改變快，可以直接觀察到變化現象；有些改變慢，長時間持續互相作用後會維持穩定的情形,
為什麼有些物品會吸水呢?,1. 水有三態變化及毛細現象,
